"","JPM","ETN","NVDA","NEE","V","AMZN","MSFT","PGR","XOM","WELL","PG","WMT"
"2017-04-04",69.0469284057617,62.5265769958496,2.48504853248596,26.0207576751709,83.5607299804688,45.3414993286133,59.4916648864746,30.3239231109619,55.5344619750977,51.317081451416,70.5946273803711,20.7382297515869
"2017-04-05",68.1612014770508,62.3345108032227,2.46655511856079,26.2417144775391,83.7960815429688,45.4640007019043,59.3378067016602,30.3161945343018,55.6423149108887,51.8405876159668,70.6416931152344,20.6345520019531
"2017-04-06",68.3905410766602,62.4013252258301,2.48455548286438,26.06494140625,83.8525238037109,44.9140014648438,59.4916648864746,30.3161945343018,55.965950012207,52.0441474914551,70.1941909790039,20.5711994171143
"2017-04-07",68.1532897949219,62.267692565918,2.473952293396,25.8982276916504,83.5231094360352,44.7439994812012,59.4464073181152,30.3470916748047,55.7974052429199,52.5385818481445,70.0606842041016,20.9945468902588
"2017-04-10",67.9160232543945,63.1277770996094,2.41082739830017,25.9986610412598,83.6360397338867,45.3520011901855,59.3106269836426,30.5942440032959,56.0468482971191,52.9966354370117,70.2648239135742,21.040620803833
"2017-04-11",67.7974166870117,62.9524307250977,2.41945791244507,25.9765663146973,83.6266403198242,45.1180000305176,59.2654037475586,30.5170135498047,55.8513336181641,52.9239234924316,70.5082473754883,21.1471748352051
"2017-04-12",67.5364456176758,61.9921607971191,2.39948487281799,26.2156028747559,83.4666290283203,44.8115005493164,59.039119720459,30.3393669128418,55.9389724731445,53.0257034301758,70.9087066650391,21.1500606536865
"2017-04-13",66.7456436157227,61.3825798034668,2.35460734367371,26.2678279876709,83.6454772949219,44.2335014343262,58.7856941223145,30.3470916748047,55.0759963989258,52.9675369262695,70.688835144043,21.0665416717529
"2017-04-17",67.9002151489258,62.0255279541016,2.44682860374451,26.2959423065186,84.5301971435547,45.0994987487793,59.2654037475586,30.5556240081787,55.0018272399902,53.3601608276367,70.9714889526367,21.164457321167
"2017-04-18",67.3466262817383,62.1842002868652,2.44830751419067,26.5028457641602,84.4549102783203,45.1889991760254,59.1839332580566,30.1308193206787,54.6445083618164,53.978199005127,71.2934112548828,21.2796592712402
"2017-04-19",66.7930755615234,61.4827842712402,2.45792460441589,26.4144687652588,84.473747253418,44.9599990844727,58.8671607971191,30.0226917266846,54.2669296264648,53.709171295166,70.8899307250977,21.3314933776855
"2017-04-20",67.6550827026367,61.8167839050293,2.49688458442688,26.287914276123,85.7914276123047,45.1030006408691,59.2834892272949,30.4397678375244,54.6175117492676,53.8545837402344,70.6763000488281,21.5417289733887
"2017-04-21",66.8405151367188,61.6664962768555,2.50724077224731,26.7197895050049,85.7914276123047,44.9264984130859,60.0980682373047,30.4166145324707,54.401798248291,53.5710182189941,70.1145401000977,21.5820484161377
"2017-04-24",69.1971817016602,63.0275726318359,2.53855681419373,26.6655502319336,86.4502563476562,45.3704986572266,61.1208343505859,30.6714992523193,54.684944152832,52.713077545166,70.8503570556641,21.5359687805176
"2017-04-25",69.798210144043,63.8960075378418,2.58269453048706,26.6996955871582,86.6949768066406,45.3810005187988,61.473819732666,30.8336906433105,55.102954864502,52.8366661071777,71.2063980102539,21.6137313842773
"2017-04-26",69.9326477050781,64.0630340576172,2.56493997573853,26.6816253662109,86.4220657348633,45.4645004272461,61.3923492431641,30.8800373077393,54.8804893493652,52.2259254455566,69.4183044433594,21.723165512085
"2017-04-27",69.2841644287109,63.8709487915039,2.60488653182983,26.8202285766602,86.2149658203125,45.9189987182617,61.7905921936035,30.9727344512939,54.7860679626465,52.4658660888672,69.3787689208984,21.7260437011719
"2017-04-28",68.8017425537109,63.1611938476562,2.57184505462646,26.828254699707,85.8573226928711,46.2495002746582,61.9625663757324,30.6792259216309,55.0490264892578,51.9423789978027,69.0939331054688,21.6511650085449
"2017-05-01",68.8492050170898,63.5703239440918,2.62954425811768,26.723804473877,85.8949508666992,47.4114990234375,62.822395324707,30.7178401947021,55.3254623413086,51.7678756713867,68.9040374755859,21.6655693054199
"2017-05-02",68.4063491821289,64.388671875,2.55162525177002,26.9206600189209,87.0996856689453,47.3470001220703,62.7228469848633,30.4397678375244,55.3187141418457,51.4406890869141,68.2157211303711,21.7490768432617
"2017-05-03",68.8017425537109,64.2371826171875,2.57061243057251,26.7880840301514,87.0055847167969,47.0514984130859,62.5237236022949,30.9340991973877,55.7569541931152,50.7572288513184,68.3818511962891,21.8182048797607
"2017-05-04",68.8808517456055,63.8247985839844,2.5607488155365,26.984935760498,87.1750106811523,46.8764991760254,62.2793464660645,31.181266784668,55.0422821044922,50.7935791015625,68.3976898193359,21.9852333068848
"2017-05-05",68.8017425537109,64.6832122802734,2.56099510192871,26.9829273223877,86.6761322021484,46.7075004577637,62.451301574707,31.4670505523682,55.298469543457,51.3899536132812,68.437255859375,22.0313129425049
"2017-05-08",68.8808517456055,64.6158752441406,2.53411793708801,27.1074695587158,86.5161514282227,47.4519996643066,62.3970031738281,31.3434677124023,55.8850364685059,51.3310470581055,68.4768142700195,21.9218769073486
"2017-05-09",68.6040573120117,64.5990371704102,2.53830981254578,26.8704471588135,86.5914611816406,47.640998840332,62.4875259399414,31.1426429748535,55.4939956665039,50.8230514526367,68.3581466674805,22.0946750640869
"2017-05-10",69.1417922973633,64.8767623901367,2.99078679084778,26.9507846832275,86.8267593383789,47.4474983215332,62.7318878173828,31.3048572540283,55.7458229064941,51.5445556640625,68.4293365478516,22.2367305755615
"2017-05-11",68.9282989501953,64.826286315918,3.11925578117371,27.0451946258545,86.6855773925781,47.3810005187988,61.9625663757324,31.0731353759766,56.222225189209,52.641544342041,68.1761474609375,22.071475982666
"2017-05-12",68.7384872436523,64.5317230224609,3.15353035926819,27.2279930114746,87.2785415649414,48.0675010681152,61.8901557922363,30.8800373077393,56.1813850402832,52.899242401123,68.1919860839844,21.9497127532959
"2017-05-15",69.0706405639648,64.7757797241211,3.31183624267578,27.3444881439209,87.7491683959961,47.8984985351562,61.9354095458984,31.065408706665,56.3515396118164,52.7593688964844,68.3027572631836,22.1178665161133
"2017-05-16",69.2841644287109,65.0029907226562,3.37348127365112,27.2982921600342,87.6738586425781,48.3035011291504,63.1825103759766,30.9881706237793,56.1813850402832,52.7151908874512,68.2315139770508,21.7757587432861
"2017-05-17",66.6428146362305,64.110954284668,3.14933896064758,27.4087734222412,86.5188217163086,47.2379989624023,61.4256629943848,31.7914409637451,55.8002433776855,53.2011337280273,68.2473526000977,21.7786674499512
"2017-05-18",66.3976516723633,64.0183792114258,3.2812602519989,27.5071983337402,86.4716644287109,47.9244995117188,61.6350250244141,32.1081237792969,55.6369285583496,53.6944046020508,67.9388122558594,22.4802627563477
"2017-05-19",67.0461273193359,65.6510162353516,3.35703992843628,27.5775051116943,87.1976852416992,47.992000579834,61.616813659668,31.7451057434082,55.7594184875488,53.9226379394531,68.2315139770508,22.8368587493896
"2017-05-22",66.9828872680664,65.3901138305664,3.42862343788147,27.7904281616211,87.9802780151367,48.5335006713867,62.3086395263672,32.0695114135742,56.004451751709,54.0404319763184,68.2077865600586,22.7730770111084
"2017-05-23",67.8211441040039,65.3480529785156,3.38246512413025,27.912956237793,88.4988555908203,48.5769996643066,62.5179901123047,32.0926780700684,56.2018051147461,53.9299926757812,68.1049652099609,22.7556838989258
"2017-05-24",67.7815780639648,65.2807388305664,3.42047810554504,28.1519966125488,89.3946228027344,49.0175018310547,62.599925994873,32.3012351989746,56.004451751709,54.1361389160156,68.437255859375,22.6571083068848
"2017-05-25",67.4969100952148,65.0619125366211,3.4128270149231,28.4621028900146,89.6114501953125,49.6689987182617,63.3736457824707,32.6488037109375,55.6369285583496,53.8637428283691,68.7220764160156,22.7035026550293
"2017-05-26",67.5048141479492,65.2723388671875,3.50119495391846,28.4641284942627,89.2626037597656,49.7890014648438,63.6831665039062,32.6719779968262,55.5007972717285,53.3999061584473,69.0306243896484,22.6513175964355
"2017-05-30",66.3501968383789,65.4069671630859,3.57598829269409,28.4519882202148,89.3097457885742,49.8349990844727,64.0927886962891,32.610179901123,55.1945495605469,53.3778038024902,69.1492919921875,22.6571083068848
"2017-05-31",64.9662399291992,65.1208419799805,3.56315231323242,28.6118011474609,89.7906265258789,49.7309989929199,63.5739097595215,32.7723922729492,54.786205291748,53.4072494506836,69.6952285766602,22.7875728607178
"2017-06-01",65.685920715332,65.7099304199219,3.56339907646179,28.7048492431641,89.9509124755859,49.7975006103516,63.8105850219727,33.0272636413574,54.9223251342773,53.7164878845215,69.7268829345703,23.1383781433105
"2017-06-02",65.3537673950195,65.5416107177734,3.54562711715698,28.868709564209,90.6580505371094,50.336498260498,65.3216781616211,33.2744369506836,54.1056289672852,54.327564239502,70.0907897949219,23.0832920074463
"2017-06-05",65.4723892211914,64.6074676513672,3.65349626541138,28.6947402954102,91.0352172851562,50.5670013427734,65.7949981689453,33.2589912414551,54.5275955200195,54.0919609069824,70.2094955444336,23.2688426971436
"2017-06-06",65.6068115234375,64.2371826171875,3.63695883750916,28.7088947296143,90.3186416625977,50.1500015258789,66.0134582519531,33.181755065918,55.269401550293,53.7680130004883,70.2569808959961,22.8832473754883
"2017-06-07",66.3581008911133,63.0758171081543,3.68089556694031,28.8424110412598,90.6014633178711,50.5035018920898,65.8951263427734,33.1740226745605,55.0652389526367,53.8784484863281,70.2332153320312,22.9470310211182
"2017-06-08",67.1805877685547,63.513427734375,3.94797801971436,28.6138248443604,90.6014633178711,50.513500213623,65.4945907592773,33.2589912414551,54.8678855895996,53.6723098754883,69.5053558349609,22.8832473754883
"2017-06-09",68.7701110839844,63.7406425476074,3.69274353981018,28.3690452575684,89.1588592529297,48.9155006408691,64.0108489990234,33.5833854675293,55.8955459594727,54.0772285461426,69.7506103515625,23.0252990722656
"2017-06-12",68.7859344482422,63.7658805847168,3.70187711715698,28.2031726837158,88.1594390869141,48.2454986572266,63.5192985534668,33.7378730773926,56.4399948120117,54.5116233825684,69.8139114379883,22.9731216430664
